signal,prompt,human_response,human_correctness,n_words,hits,transcript_enhanced,transcript_clean,hidden_file
S08510_L0239_E001,i suppose you wouldn't be free for dinner this evening,freeze evening,10.0,10,1,I suppose you won't be free for dinner this evening.,I suppose you wouldn't be free for dinner this evening?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08510_L0239_E001.pt
S08529_L0216_E001,i think he confirmed this on saturday,i think you confirm this on saturday,71.4285714286,7,5,I think you can film this on Saturday.,I think he confirmed this on Saturday.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08529_L0216_E001.pt
S08532_L0242_E001,the term mixed race is also inaccurate,,0.0,7,0,The end.,The term mixed race is also inaccurate.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08532_L0242_E001.pt
S08537_L0229_E001,it will remain off the song sheet,,0.0,7,0,We're going to be heading off to the sea in a jiffy.,It will remain off the sum sheet.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08537_L0229_E001.pt
S08537_L0242_E001,it will remain off the song sheet,,0.0,7,0,The,It will remain off the sum sheet.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08537_L0242_E001.pt
S08540_L0206_E001,i bet you haven't any more than i did,,0.0,9,0,The end.,I bet you haven't any more than I did.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08540_L0206_E001.pt
S08540_L0212_E001,i bet you haven't any more than i did,,0.0,9,0,Thanks for watching!,I bet you haven't any more than I did.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08540_L0212_E001.pt
S08554_L0218_E001,birth control however is a very controversial issue,birth control however is a very controversial issue,100.0,8,8,"Health control, however, is a very controversial issue.","Birth control, however, is a very controversial issue.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08554_L0218_E001.pt
S08554_L0221_E001,birth control however is a very controversial issue,birth control however is a very controversial issue,100.0,8,8,"Health control, however, is a very controversial issue.","Birth control, however, is a very controversial issue.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08554_L0221_E001.pt
S08555_L0216_E001,he had his black chest out too,he had a black sweater on ,42.8571428571,7,3,He had his black chest out too.,He had his black chest out too.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08555_L0216_E001.pt
