signal,prompt,human_response,human_correctness,n_words,hits,transcript_enhanced,wcs,correct_words,transcript_clean,hidden_file
S08510_L0239_E001,i suppose you wouldn't be free for dinner this evening,freeze evening,10.0,10,1,I suppose you won't be free for dinner this evening.,90.0,i suppose you be free for dinner this evening,I suppose you wouldn't be free for dinner this evening?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08510_L0239_E001.pt
S08529_L0216_E001,i think he confirmed this on saturday,i think you confirm this on saturday,71.4285714286,7,5,I think you can film this on Saturday.,71.42857142857143,i think this on saturday,I think he confirmed this on Saturday.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08529_L0216_E001.pt
S08532_L0242_E001,the term mixed race is also inaccurate,,0.0,7,0,The end.,14.285714285714286,the,The term mixed race is also inaccurate.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08532_L0242_E001.pt
S08537_L0229_E001,it will remain off the song sheet,,0.0,7,0,We're going to be heading off to the sea in a jiffy.,28.571428571428573,off the,It will remain off the sum sheet.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08537_L0229_E001.pt
S08537_L0242_E001,it will remain off the song sheet,,0.0,7,0,The,14.285714285714286,the,It will remain off the sum sheet.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08537_L0242_E001.pt
S08540_L0206_E001,i bet you haven't any more than i did,,0.0,9,0,The end.,0.0,,I bet you haven't any more than I did.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08540_L0206_E001.pt
S08540_L0212_E001,i bet you haven't any more than i did,,0.0,9,0,Thanks for watching!,0.0,,I bet you haven't any more than I did.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08540_L0212_E001.pt
S08554_L0218_E001,birth control however is a very controversial issue,birth control however is a very controversial issue,100.0,8,8,"Health control, however, is a very controversial issue.",87.5,control however is a very controversial issue,"Birth control, however, is a very controversial issue.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08554_L0218_E001.pt
S08554_L0221_E001,birth control however is a very controversial issue,birth control however is a very controversial issue,100.0,8,8,"Health control, however, is a very controversial issue.",87.5,control however is a very controversial issue,"Birth control, however, is a very controversial issue.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08554_L0221_E001.pt
S08555_L0216_E001,he had his black chest out too,he had a black sweater on ,42.8571428571,7,3,He had his black chest out too.,100.0,he had his black chest out too,He had his black chest out too.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08555_L0216_E001.pt
S08558_L0227_E001,finally allow time for discussion and evaluation of the visit,to get to,0.0,10,0,"Finally, allow time for discussion and evaluation of the visit.",100.0,finally allow time for discussion and evaluation of the visit,"Finally, allow time for discussion and evaluation of the visit.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08558_L0227_E001.pt
S08561_L0239_E001,i predict that the car will crash,,0.0,7,0,I'm protected by the global pressure.,14.285714285714286,the,I predict that the car will crash.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08561_L0239_E001.pt
S08566_L0218_E001,there was an unkempt look about him,,0.0,7,0,Shhhhhh,0.0,,There was an unkempt look about him.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08566_L0218_E001.pt
S08574_L0206_E001,he couldn't make any sense of it at all,,0.0,9,0,Thanks for watching!,0.0,,He couldn't make any sense of it at all.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08574_L0206_E001.pt
S08574_L0212_E001,he couldn't make any sense of it at all,,0.0,9,0,We couldn't get a sense of the time.,33.333333333333336,couldn't sense of,He couldn't make any sense of it at all.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08574_L0212_E001.pt
S08575_L0240_E001,his voice strained like a young stallion on a halter,his voice changed like a young scallion on a hottie ,70.0,10,7,His voice strained like a young scaring on a hotel.,80.0,his voice strained like a young on a,His voice strained like a young stallion on a halter.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08575_L0240_E001.pt
S08576_L0229_E001,stay in the car if you don't mind,apart,0.0,8,0,Stay in the car if you don't mind.,100.0,stay in the car if you don't mind,Stay in the car if you don't mind.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08576_L0229_E001.pt
S08578_L0224_E001,get out of my way at once,,0.0,7,0,Sizzling,0.0,,Get out of my way at once.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08578_L0224_E001.pt
S08579_L0219_E001,he heard them whispering by the door,we heard,14.2857142857,7,1,We have a mustering by the Google.,28.571428571428573,by the,He heard them whispering by the door.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08579_L0219_E001.pt
S08579_L0225_E001,he heard them whispering by the door,he heard whispering by the door,85.7142857143,7,6,We had a muster in by the Google.,28.571428571428573,by the,He heard them whispering by the door.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08579_L0225_E001.pt
S08582_L0215_E001,outside in the open air it was glorious,in the open air it was glorious,87.5,8,7,"Outside, in the open air, it was glorious.",100.0,outside in the open air it was glorious,"Outside, in the open air, it was glorious.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08582_L0215_E001.pt
S08594_L0225_E001,i can't keep my cool and he does rattle me,i can't speak my thoughts,30.0,10,3,I can't keep my clean if he does nothing.,60.0,i can't keep my he does,I can't keep my cool and he does rattle me.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08594_L0225_E001.pt
S08594_L0231_E001,i can't keep my cool and he does rattle me,i can't keep my ,40.0,10,4,I can't keep my clean because it does wreck the lens.,50.0,i can't keep my does,I can't keep my cool and he does rattle me.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08594_L0231_E001.pt
S08600_L0227_E001,i could swear i see it breathing,i could swear,42.8571428571,7,3,I could swear I saw it breathing.,85.71428571428571,i could swear i it breathing,I could swear I see it breathing.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08600_L0227_E001.pt
S08606_L0224_E001,it has in fact a complete absence of energy,he had been sat,0.0,9,0,It has the effect of complete absence of energy.,66.66666666666667,it has complete absence of energy,It has in fact a complete absence of energy.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08606_L0224_E001.pt
S08614_L0218_E001,replace the paper and the lid and cook another hour,place the on the lid and take,40.0,10,4,Whip until stiff peaks form. Whip until stiff peaks form. Whip until stiff peaks form.,0.0,,Replace the paper and the lid and cook another hour.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08614_L0218_E001.pt
S08625_L0200_E001,i'm not your enemy you can trust me,i met your you can trust me,62.5,8,5,"I'm not your enemy, you can trust me.",100.0,i'm not your enemy you can trust me,"I'm not your enemy, you can trust me.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08625_L0200_E001.pt
S08627_L0219_E001,but there had to be something they could do,,0.0,9,0,But I have some stuff in my hand.,11.11111111111111,but,But there had to be something they could do.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08627_L0219_E001.pt
S08628_L0243_E001,someone is going to be very disappointed,someone is going to be very disappointed ,100.0,7,7,Someone is going to be very disappointed.,100.0,someone is going to be very disappointed,Someone is going to be very disappointed.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08628_L0243_E001.pt
S08636_L0243_E001,you won't try to persuade me not to,you won't try to persuade me not to,100.0,8,8,You won't try to persuade me not to.,100.0,you won't try to persuade me not to,You won't try to persuade me not to.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08636_L0243_E001.pt
S08637_L0222_E001,this is the essence of the algorithm above,this is the essence of the algorithm above,100.0,8,8,This is the essence of the algorithm above.,100.0,this is the essence of the algorithm above,This is the essence of the algorithm above.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08637_L0222_E001.pt
S08644_L0219_E001,i was beginning to think you weren't coming,i was beginning to think you wasn't coming,87.5,8,7,That was beginning to think you weren't coming.,87.5,was beginning to think you weren't coming,I was beginning to think you weren't coming.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08644_L0219_E001.pt
S08644_L0225_E001,i was beginning to think you weren't coming,i was beginning to think you weren't coming,100.0,8,8,It's beginning to think you weren't coming.,75.0,beginning to think you weren't coming,I was beginning to think you weren't coming.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08644_L0225_E001.pt
S08645_L0240_E001,no one came on as a sub did they,no one came on as a sub did they ,100.0,9,9,No one came on as a sock to break.,66.66666666666667,no one came on as a,No one came on as a sub did they?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08645_L0240_E001.pt
S08651_L0215_E001,there wouldn't be any room for us to be us,there wouldn't be any room for us,70.0,10,7,There wouldn't be any room for us to be us.,100.0,there wouldn't be any room for us to be us,There wouldn't be any room for us to be us.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08651_L0215_E001.pt
S08652_L0219_E001,you were late by half an hour this afternoon,,0.0,9,0,You are late by half an hour for the Swift Trial.,66.66666666666667,you late by half an hour,You were late by half an hour this afternoon.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08652_L0219_E001.pt
S08653_L0231_E001,attached was a note giving his name,attached was his given name ,42.8571428571,7,3,Attach the,0.0,,Attached was a note giving his name.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08653_L0231_E001.pt
S08658_L0239_E001,inevitably novelty is confused with genuine innovation,,0.0,7,0,"Inevitably, novelty has been pleased with genuine innovation.",71.42857142857143,inevitably novelty with genuine innovation,"Inevitably, novelty is confused with genuine innovation.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08658_L0239_E001.pt
S08660_L0231_E001,now that has all been sunk without trace,now that has all been sunk without trace,100.0,8,8,Now that was all being sung without trace.,62.5,now that all without trace,Now that has all been sunk without trace.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08660_L0231_E001.pt
